State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ration
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,647042,408160,1611126,146346,2464,708,2887,5671,18,69591,2635,873.1203930166498
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,623583,438420,1457892,113961,1362,1045,1733,3917,94,113098,2964,870.0700828509817
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,838339,612562,2094271,365806,3225,1912,737,358,185,127754,4746,961.687101271169
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,654827,437850,1596278,276846,3137,3160,3161,487,100,88081,2624,873.5132771505804
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,911003,601163,2274674,350700,2201,402,172,199,47,75263,3385,901.2718798430299
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,912314,609492,2140745,314812,3370,1804,3395,19077,61,196080,5834,875.4277254689403
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,890214,757901,1122947,666065,456882,1394025,215500,7366,9261,895,4518,91,257586,53181,851.369445998378
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,1811397,1311867,3414427,1186776,19026,23001,3487,16412,265,695130,78116,881.0595644386085
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,2197549,1293553,903996,3233790,368153,4181,810,3145,213,184,105767,5309,951.5480506178995
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,1679994,1034181,645813,2739076,678615,4735,1893,649,338,57,104084,4313,921.454094964821
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,2700328,1593890,1106438,4009037,403847,9662,2123,2848,460,207,296619,14597,949.6618852503999
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,180555,177536,449412,3711,243,591,95,293,9,104120,2521,1095.0292532362832
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,408125,245174,1010014,91269,814,196,74,41,273,55929,1196,860.5158566357278
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,1374587,847014,3508131,556219,5822,5688,6671,446,98,95508,3845,867.6492464778898
